original_title,metadata
Bolt,animation family adventure comedy hamster kidsandfamily animal catvsdog duringcreditsstinger dogcatfriendship animallead girldogrelationship johntravolta mileycyrus susieessman markwalton malcolmmcdowell jameslipton greggermann diedrichbader nickswardson j.p.manoux danfogelman kariwahlgren chloëgracemoretz randysavage ronnmoss greygriffin chriswilliams
G-Force,fantasy action adventure family comedy dyr duringcreditsstinger samrockwell penélopecruz tracymorgan jonfavreau stevebuscemi nicolascage edwinlouis jaredlavette micahlavette billnighy willarnett zachgalifianakis kelligarner niecynash loudonwainwrightiii tylerpatrickjones pipermackenzieharris chrisellis gabrielcasseus justinmentell troyrobinson hoytyeatman
Wrath of the Titans,adventure underworld hades mythology greekmythology zeus perseus gods ancientgreece basedongreekmyth ares 3d samworthington liamneeson ralphfiennes edgarramírez tobykebbell rosamundpike billnighy dannyhuston johnbell lilyjames alejandronaranjo freddydrabble kathryncarpenter mattmilne kettturton sinéadcusack spencerwilding martinbayfield jonathanliebesman
Dark Shadows,comedy fantasy witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion johnnydepp michellepfeiffer helenabonhamcarter jackieearlehaley jonnyleemiller evagreen bellaheathcote chloëgracemoretz gullivermcgrath rayshirley christopherlee alicecooper ivankaye susannacappellaro raffeycassidy alexiaosborne williamhope glenmexted josephinebutler shanerimmer michaelshannon nigelwhitmey sophiekennedyclark hannahmurray charlottespencer timburton
Mission: Impossible - Rogue Nation,action adventure thriller londonengland spy austria villain sequel mission conspiracy viennaopera vienna tomcruise rebeccaferguson simonpegg jeremyrenner vingrhames seanharris simonmcburney zhangjingchu tomhollander jenshultén alecbaldwin mateorufino fernandoabadie alecutgoff hermionecorfield nigelbarber williamroberts patrickpoletti martincochrane davidpeart barnabásréti ashmerat jamesweberbrown robertmaaser wolfgangstegemann eva-mariebecker adamganne jesusalvarez americaolivo jamescleverton martinnelson jamesmcorancampbell tomlowe nicholassharratt nicholaslupu stellastocker martinbermoser benjaminplautz ninahartmann danielanitsch carolaniederhuber timbreyvogel laurencerupp wolfgangcerny rupertwickham judithbogner peterstark ulliackermann saifal-warith robertluckay tarrickbenham tylerfayose rachelhandshaw julianmoorecrook seancronin emilioaniba volkanay amramallassi hadrianhoward walleshamonde shamirdawood sagarradia yasenatour noordillan-night mingusjohnston osyikhile nigelallen georginaredhead brucelawrence femiogunbanjo katiepattinson lascoatkins jorgeleonmartinez stevengätjen jessicawilliams christophermcquarrie
The Wolfman,drama horror thriller fathersonrelationship victorianengland remake ruralsetting werewolf beniciodeltoro anthonyhopkins emilyblunt hugoweaving cristinacontes davidsterne elizabethcroft simonmerrells artmalik asabutterfield geraldinechaplin olgafedori lorrainehilton johnowens joejohnston
Bee Movie,family animation adventure comedy factoryworker tennis flower florist flowershop pilot college airplane beehive court aftercreditsstinger jerryseinfeld renéezellweger jimcummings matthewbroderick patrickwarburton johngoodman chrisrock kathybates barrylevinson meganmullally riptorn oprahwinfrey michaelrichards larryking larrymiller davidmosespimentel chuckmartin brianhopkins johndimaggio tressmacneille simonj.smith rayliotta sting robertjayne carlkasell stevehickner
Kung Fu Panda 2,animation family martialarts hope fleet panda mission womandirector jackblack angelinajolie dustinhoffman garyoldman jackiechan lucyliu sethrogen davidcross michelleyeoh jameshong dannymcbride dennishaysbert jean-claudevandamme victorgarber mikebell jasonbertsch michaeldemaio shaneglick lenagolia aprilhong josephizzo alexandragoldjourden stephenkearin liamknight paulmazursky dano'connor jeremyshipp maurysterling fredtatasciore laurentom romyrosemont conradvernon jenniferyuhnelson
The Last Airbender,action adventure family fantasy fire ice warship prince kingdom water village arrest remake attack avatar air spirit world domination cheering noahringer nicolapeltz jacksonrathbone devpatel shauntoub aasifmandvi deebradleybaker bencooke katharinehoughton cliffcurtis seychellegabriel francisguinan damongupton summerbishil randalldukkim johnd'alonzo keongsim robertolombardi riteshrajan jessicajadeandres m.nightshyamalan m.nightshyamalan
Mission: Impossible III,adventure action thriller berlin cia vatican whitehouse secretidentity secret explosive mobilephone map traitor mask honeymoon shanghai pretendedmurder secretmission letter funeral coveredinvestigation toshootdead secretagent video stamp harddrive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration goodandbad researchlaboratory blast tomcruise philipseymourhoffman vingrhames billycrudup jonathanrhysmeyers michellemonaghan kerirussell maggieq simonpegg aaronpaul laurencefishburne roserollins baharsoomekh j.j.abrams
White House Down,action drama thriller usapresident conspiracy secretservice thewhitehouse channingtatum jamiefoxx joeyking maggiegyllenhaal richardjenkins jameswoods nicolaswright jimmisimpson michaelmurphy rachellelefevre lancereddick mattcraven jakeweber peterjacobson jasonclarke kevinrankin garcellebeauvais falkhentschel romanoorzari jackiegeary andrewsimms rolandemmerich
Mars Needs Moms,adventure animation family boy alien rescue martian alienabduction alieninvasion basedonchildren'sbook duringcreditsstinger sethgreen joancusack danfogler breckinmeyer elisabethharnois tomeverettscott mindysterling julenerenee raymondochoa robertochoa ryanochoa sethrobertdusky simonwells
Flushed Away,adventure animation comedy family londonengland underworld return ship frog girlfriend rubin hughjackman katewinslet ianmckellen jeanreno billnighy andyserkis shanerichie kathyburke davidsuchet miriammargolyes rachelrawlinson susanduerden milesrichardson johnmotson douglasweston davidbowers
Pan,adventure family fantasy flying magic fairytale peterpan mermaid pirate fantasyworld levimiller garretthedlund hughjackman rooneymara amandaseyfried nonsoanozie kathyburke adeelakhtar caradelevingne paulkaye emeraldfennell lewismacdougall tae-joona jackcharles bronsonwebb kurtegyiawan jacklowden jimmyvee aaronmonaghan joewright
Mr. Peabody & Sherman,animation adventure family fathersonrelationship egypt intelligence adoption timetravel boy childprodigy friendship growingup children talkinganimal talkingdog dog firstlove ancientegypt timetraveler duringcreditsstinger newschool georgewashington gags trouble timeparadox prodigy tyburrell maxcharles arielwinter allisonjanney elliekemper stephencolbert stephentobolowsky karanbrar joshuarush adamalexi-malle stanleytucci laurifraser lesliemann lakebell guillaumearetos patmusick dennishaysbert zachcallison stevevalentine leilabirch patrickwarburton tommcgrath melbrooks cullenmccarthy jasperjohannesandrews waltdohrn kimbubbs nicholasguest thomaslennon robminkoff alrodrigo jessharnell avaacres newellalexander rosemaryalexander stevealterman stephenapostolina evabella blakebertrand mitchcarter davidcowgill jefffischer donaldfullilove jackiegonneau rifhutton mollyjackson luisaleschin hopelevy scottmenville raymondochoa bengarant robminkoff
Troy,adventure drama war brotherbrotherrelationship adultery mythology beauty trojanwar bravery wall fraud hostility epic swordfight battlefield ancientworld pyre ancientgreece trojanhorse trojan bronzeage spartagreece helenoftroy homer'siliad bradpitt orlandobloom ericbana briancox seanbean brendangleeson dianekruger petero'toole rosebyrne saffronburrows garretthedlund vincentregan juliechristie nathanjones johnshrapnel jamescosmo nigelterry julianglover trevoreve frankiefitzgerald wolfgangpetersen
Madagascar 3: Europe's Most Wanted,animation family madagascar 3d benstiller sachabaroncohen davidschwimmer francesmcdormand chrisrock jadapinkettsmith johndimaggio cedrictheentertainer jessicachastain bryancranston martinshort pazvega conradvernon
Die Another Day,adventure action thriller laser britishsecretservice secretserviceagent spacebasedweapon piercebrosnan halleberry rosamundpike rickyune tobystephens johncleese lawrencemakoare michaelmadsen willyunlee judidench kennethtsang emilioechevarría mikhailgorevoy colinsalmon samanthabond madonna rachelgrant simónandreu markdymond vincentwong deborahmoore leetamahori
Ghostbusters,action fantasy comedy femalefriendship ghosthunting reboot ghost melissamccarthy kristenwiig katemckinnon lesliejones chrishemsworth neilcasey charlesdance michaelkennethwilliams cecilystrong andygarcía mattwalsh edbegleyjr. stevehiggins michaelmcdonald karansoni zachwoods natecorddry tobyhuss katiedippold jessicachaffin jamiedenbo daveallen stevebannos adamray billmurray danaykroyd erniehudson sigourneyweaver anniepotts ozzyosbourne alroker rosannascotto gregkelly danielramis samrichardson milanavayntrub bessrous patkiernan eugenecordero jeanineramirez tomyi susanpark stephenboss robinshelby johnmilhiser benharris jaimepacheco daveyjones ryanlevine danteicher theodoreshapiro matteoborghese cherylwills tonyviveiros johnnyhiggins elizabethperkins kristenannese stephanieatkinson brianbaumgartner amandablattner chemiche-mponda kadianclarke mackenziehawe erinkatrinahayes sigridlium paigemaclean lesleynicol dianepimentel lexieroth stephanieannsaunders kallietabor jordantofalo chauntyspillane chauntyspillane chauntyspillane paulfeig
Armageddon,action thriller sciencefiction adventure savingtheworld paris moon cataclysm asteroid selfsacrifice nasa spacemarine lossoffather daughter space wedding astronaut eiffeltowerparis duringcreditsstinger disastermovie spacecentre brucewillis billybobthornton benaffleck livtyler willpatton stevebuscemi williamfichtner michaelclarkeduncan peterstormare owenwilson kenhudsoncampbell jessicasteen chrisellis keithdavid jasonisaacs marshallr.teague j.patrickmccormack ianquinn charltonheston eddiegriffin sageallen gracezabriskie graysonmccouch clarkheathcliffebrolly gregcollins johnmahon k.c.leomiti stanleyanderson jamesharper harryhumphries ellencleghorne udokier anthonyguidera dyllanchristopher judithhoag deborahnishimura albertwong jimishida johnaylward markcurry seikomatsuda stevenford christianclemenson shawneesmith bodhielfman dinamorrone patricklander brianmulligan patrickrichwood frankvankeeken googygress frederickweller jeffaustin mattmalloy h.richardgreene brianbrophy petermurnik brianhayescurrie andymilder michaelkaplan dukevalenti michaeltaliferro billydevlin micheleedison michaelbay maryannschmidt judibeecher michaelbay
Men in Black II,action adventure comedy sciencefiction savingtheworld secretidentity sunglasses undercover spacemarine illegalimmigration deportation newidentity flyingsaucer light firearm alien fictionalgovernmentagency tommyleejones willsmith riptorn laraflynnboyle johnnyknoxville rosariodawson tonyshalhoub patrickwarburton jackkehler davidcross colombejacobsen-derstine peterspellos michaelbaileysmith rickbaker michaeljackson dougjones derekmears michaelrivkin lennyvenito howardspiegel alpheusmerchant joelmckinnonmiller jayjohnston barrysonnenfeld
Beowulf,adventure action animation denmark nordicmythology lie prideandvanity folkhero humanweakness viking alienation festivalhall sin royalty curse battle ancientworld adultanimation motioncapture raywinstone angelinajolie anthonyhopkins robinwright johnmalkovich brendangleeson crispinglover alisonlohman gregellis sebastianroché dominickeating charlottesalt rikyoung sonjefortag keithkraft johnbilezikjian rodd.harbour bricemartinet sharissebaker-bernard julenerenee lesliezemeckis woodyschultz tylersteelman nickjameson shayduffin costasmandylor jacquiebarnbrook fredrikhiller kevindorman richardburns robertzemeckis
Kung Fu Panda 3,action adventure animation comedy family china martialarts kungfu village panda sequel talkinganimal anthropomorphism dragon ancientchina wuxia womandirector jackblack bryancranston dustinhoffman angelinajolie j.k.simmons jackiechan sethrogen lucyliu davidcross katehudson jameshong randalldukkim steelegagnon liamknight wayneknight barbaradirickson alroker williegeist fredtatasciore paxjolie-pitt kellycooney stephenkearin mickwingert mingtsai aprilhong knoxjolie-pitt zaharajolie-pitt shilohjolie-pitt jean-claudevandamme radzichinyanganya lindseyrussell josephizzo lenagolia gusculligan jenniferyuhnelson
Mission: Impossible - Ghost Protocol,action thriller adventure fight sequel mission explosion brokenarm imax nuclearthreat tomcruise jeremyrenner simonpegg paulapatton anilkapoor joshholloway vingrhames mirajgrbic ivanshvedoff samuliedelmann michaelnyqvist léaseydoux michellemonaghan tomwilkinson tammyhui mikedopud bradbird
Rise of the Guardians,fantasy animation family dream santaclaus nightmare easterbunny toothfairy jackfrost sandman duringcreditsstinger chrispine alecbaldwin judelaw islafisher hughjackman dakotagoyo khamanigriffin kamilmcfadden georgiegrieve emilynordwind jacobbertrand oliviamattingly dominiquegrund aprillawrence ryancrego ryancrego peterramsey
Fun with Dick and Jane,comedy basedonnovel desperation robber hold-uprobbery remake suburbia lossofjob humiliation unemployment bankruptcy travelagent richestorags bearerbonds comeuppance jimcarrey téaleoni alecbaldwin richardjenkins angieharmon johnmichaelhiggins richardburgi carlosjacott aaronmichaeldrozin gloriagarayua michellearthur staceytravis timmsharp davidherman gianfrancotordi deanparisot
The Last Samurai,drama action war history japan warcrimes senseofguilt swordplay general samurai warveteran katana sword armsdeal homeland emperor languagebarrier self-discovery mountainvillage foreignlegion mercenary campaign commercialagreement insurgence leader warstrategy gettysburg lossofhusband slaughter soldier alcoholic u.s.soldier japanesearmy 19thcentury wartrauma tomcruise kenwatanabe williamatherton chadlindberg billyconnolly tonygoldwyn shichinosukenakamura koyuki timothyspall togoigawa scottwilson shunsugata shinkoyamada hiroyukisanada masatoharada masashiodate johnkoyama satoshinikaido shintarowada sosukeikematsu aoiminato shojiyoshihara seizôfukumoto raygodshallsr. kosaburonomuraiv takashinoguchi noguchitakayuki sventoorvald yukimatsuzaki mitsuyukioishi jirowada hiroshiwatanabe yusukemyochin hiroakiamano kentadaibo kojifujii makotohashiba shimpeihorinouchi takashikora shanekosugi takeshimaya seijimorita leemurayama takerushimizu shinjisuzuki hisaotakeda ryoichiroyonekura edwardzwick
Exodus: Gods and Kings,adventure drama action moses bible ancientegypt 3d ramses christianbale joeledgerton johnturturro aaronpaul benmendelsohn maríavalverde sigourneyweaver benkingsley hiamabbass isaacandrews ewenbremner indiravarma golshiftehfarahani ghassanmassoud tarafitzgerald darsalim andrewtarbet kenbones halhewetson christophersciueref emunelliott kevorkmalikyan alejandronaranjo philiparditti ridleyscott
Star Trek,sciencefiction action adventure spacecraft teleportation spacemission parachute timetravel blackhole supernova prequel warpspeed futuristic warpengine romulans outerspace vulcan alternatereality spaceopera reboot chrispine zacharyquinto leonardnimoy ericbana brucegreenwood karlurban zoesaldana simonpegg johncho antonyelchin bencross winonaryder chrishemsworth jennifermorrison rachelnichols farantahir cliftoncollinsjr gregellis scottiethompson paulmcgillion luciarijker jimmybennett greggrunberg lisavidal jacobkogan tylerperry amandaforeman diorabaird sufebradshaw tonyelias seangerace randypausch timgriffin fredafohshen kasiakowalczyk jasonbrooks sonitahenry kelvinyu martamartin tavarusconley jeffcastle billybrown spencerdaniels jeremyfitzgerald zoechernov maxchernov lorenzojameshenrie colbypaul codyklop akivagoldsman annakatarina douglastait tonyguma geraldw.abrams jamesmcgrath jasonmatthewsmith marcusyoung bobclendenin reggielee jeffreybyron jonathandixon benbinswagner margotfarley alexnevil kimberlyarland jeffchase charleshaugk nanahill michaelsaglimbeni johnblackman jackmillard shaelaluter sabrinamorris michelleparylak ozperkins michaelberryjr. matthewbeisner nevillepage jesperinglis marleneforte leonardo.turner markbramhall ronaldf.hoiseck ireneroseen jeffo'haco deeproy majelbarrett ricoe.anderson richardarnold tadatkinson leslieaugustine johnnybaca salabaker leobaligaya coreybecker jessicaboss neils.bulk jamescawley bradchampagne zacharyculbertson calvindean christopherdoohan clairedoré markcasimirdyniewicz etienneeckert kenedling alizafinley ianfisher mathewthomasfoss massifurlan victorgarber tommygermanovichjr. marygrace wyattgray joshuagreene nancyguerriero justinrodgershall jefferyhauser bradwilliamhenke elizabethingalls christopherkarljohnson jolenekay sarahklaren makikokonishi bryanlee danield.lee anneleighton steveluna aaronlynch justinmalachi navmann paulmarshall owenmartin taylormccluskey matthewmcgregor caitlinmckenna-wilkinson patriziamilano kevinmoser jonathanw.d.newkerk westleynguyen jimnieb andresperez-molina markphelan damionpoitier rahvaunia bertrandrobersonjr. deborahrombaut leonardjonathanruebe ramonaseymour williammorgansheppard katiesoo ronniesteadman josephstephensjr. josephsteven t.j.storm paultownsend scotttrimble erriktustenuggee ravivalleti jasonvaughn a.j.verel brianwaller stevewharton wilwheaton briannawomick lynnannezager pavellychnikoff darlenatejeiro j.j.abrams
Spider-Man,fantasy action lossoflover spider thanksgiving badboss hostility marvelcomic superhero pokies evil referencetosuperman goblin tobeymaguire willemdafoe kirstendunst jamesfranco cliffrobertson rosemaryharris j.k.simmons joemanganiello billnunn michaelpapajohn elizabethbanks ronperkins randysavage octaviaspencer lucylawless brucecampbell tedraimi stanlee macygray johnnytrínguyễn robertkerman gerrybecker k.k.dodds jackbetts stanleyanderson shanomarhuey johnpaxton jaycebartok sararamirez unadamon larryjoshua timothypatrickquill jasonpadgett evanarnold bradgrunberg mykwatford sylvakelegian peterappel joed'onofrio jimnorton timdezarn coreymendellparker ashleyedner alexblack rickavery peteraylward jillianclare chriscoppola jesseheiman leroypatterson bennyurquidez scottl.schwartz jopheryc.brown brianj.williams jimward taylorgilbert deborahwakeham billcalvert kristenmarieholly ajaymehta scottspiegel markdealessandro tiadionnehodge lorenjanes andrayjohnson martinpfefferkorn tammisutton lindsaythompson seanvalla philipng petemacnamara samraimi
How to Train Your Dragon 2,fantasy action adventure animation comedy family fathersonrelationship wifehusbandrelationship sacrifice viking sequel rescue dragon mothersonrelationship deathofhusband warrior 3d jaybaruchel gerardbutler kristenwiig jonahhill cateblanchett djimonhounsou kitharington christophermintz-plasse t.j.miller americaferrera craigferguson kieronelliott philipmcgrade andrewableson gideonemery simonkassianides randythom deandeblois
Gods of Egypt,fantasy egypt underworld fight mythology nile war thief rescue desert gods egyptianmythology egyptian myth brentonthwaites nikolajcoster-waldau gerardbutler courtneyeaton elodieyung chadwickboseman geoffreyrush abbeylee bryanbrown emmabooth gorand.kleut rachaelblake kennethransom rufussewell brucespence yayadeng alexanderengland emilywheaton mattruscic robynnevin wassimhawat jeffcoopwood jean-pierreyerma ishakissa richardmutschall paulaarundell julianmaroun marisalamonica joshfarah garrettwilliamfountain seanmichaelperez premilajennar michael-anthonytaylor aliaseror-o'neill racheljoseph alessandroguerrera rhavinbanda kurtgoehner-winter garethhamilton-foster adamroper karimzreika alexproyas
Stealth,action artificialintelligence u.s.navy aftercreditsstinger joshlucas jessicabiel jamiefoxx samshepard richardroxburgh joemorton ebonmoss-bachrach michaeldenkha claytonadams rockyhelton ianbliss mauricemorgan woodynaismith nicholashammond joeltobeck johnwaters charlesndibe michaelmccabe jimdiamond sarasaliba carolinedesouzacorrea megangale harliames robcohen
Watchmen,action mystery sciencefiction dccomics secretidentity massmurder retirement basedoncomicbook conspiracy nuclearwar doomsday soviet maskedvigilante doomsdayclock redsquare deathofsuperhero americanpresident 1980s malinåkerman billycrudup carlagugino jeffreydeanmorgan patrickwilson jackieearlehaley matthewgoode mattfrewer stephenmchattie lauramennell roblabelle garyhouston jamesm.connor maryannburger johnshaw robertwisden jerrywasserman donthompson franknovak seanallan ronfassler stephaniebelding chrisburns nhido walteraddison isabellechampeau tonyali alisonaraya gregarmstrong-morris tonybardach garrychalk michaelkopsa tedfriend dannywoodburn davidmackay zacksnyder
Lethal Weapon 4,action adventure comedy crime thriller lapd houseonfire revolver melgibson dannyglover joepesci renerusso jetli darlenelove traciwolfe kimchan stevekahan damonhines eboniesmith michaelchow dannyarroyo elizabethsung chrisrock bobjennings jeannechinn conanlee maryellentrainor jessicajann eddyko richarddonner
Hulk,drama action sciencefiction california sanfrancisco monster general gun dna mutation psychology berkeley transformation frog president marvelcomic superhero goldengatebridge doctor fear scientist dog desert anger mirror phone military cell hulk superhumanstrength repressedmemory repression ericbana jenniferconnelly samelliott joshlucas nicknolte paulkersey carabuono stanlee toddtesen celiaweston mikeerwin louferrigno regidavis craigdamon danieldaekim jessecorti anglee
G.I. Joe: Retaliation,adventure action sciencefiction thriller terror assassin secret technology missile warhead president rescue conspiracy explosion battle surveillance cobra dwaynejohnson d.j.cotrona adriannepalicki brucewillis raypark channingtatum leebyung-hun elodieyung raystevenson lukebracey jonathanpryce rza arnoldvosloo joechrest deraydavis ravinaidu terrydaleparks grantgoodman chipcarriere josephmazzello jonm.chu
Sahara,action adventure comedy drama mystery tyrant ironcladship matthewmcconaughey penélopecruz stevezahn williamh.macy lenniejames lambertwilson rainnwilson glynnturman clintdyer delroylindo robertcavanah judeakuwudike markaspinall rakieayola christopherbello patrickmalahide breckeisner
Final Fantasy: The Spirits Within,adventure action animation fantasy sciencefiction thriller battleassignment dystopia alien downfall scientist basedonvideogame donaldsutherland ming-nawen alecbaldwin vingrhames stevebuscemi perigilpin jameswoods jeansimmons keithdavid hironobusakaguchi
Captain America: The First Avenger,action adventure sciencefiction newyork usa worldwarii nazis marvelcomic superhero basedoncomicbook nazigermany perioddrama brooklynnewyorkcity captainamerica aftercreditsstinger marvelcinematicuniverse 3d chrisevans hugoweaving tommyleejones hayleyatwell sebastianstan dominiccooper samuell.jackson stanleytucci tobyjones nataliedormer amandarighetti richardarmitage brunoricci nealmcdonough derekluke kennethchoi j.j.feild stanlee michaelbrandon martinsherman williamhope lexshrapnel oscarpearce nicholaspinnock marekoravec davidbradley leanderdeeny samhoare jennacoleman sophiecolquhoun simonkunz kierano'connor dougcockle benbatt molliefitzgerald damondriver davidmckail amandawalker richardfreeman katherinepress sergiocovino marcellowalton anatoletaubman janpohl erichredman rosannahoult naomislights kirstymather laurahaddock jamespayton ronanraftery nickhendrix lukeallen-gale jackgordon benuttley patrickmonckeberg joejohnston
The World Is Not Enough,adventure action thriller british mission oil heiress bilbaospain britishsecretservice piercebrosnan sophiemarceau robertcarlyle deniserichards robbiecoltrane desmondllewelyn johncleese mariagraziacucinotta samanthabond michaelkitchen colinsalmon davidcalder serenascottthomas judidench ulrichthomsen claude-oliverrudolph patrickmalahide omiddjalili jeffnuttall johnalbasiny michaelapted
Master and Commander: The Far Side of the World,adventure naturalist frigate selfsurgery seabattle weevil russellcrowe paulbettany jamesd'arcy billyboyd josephmorgan edwardwoodall chrislarkin maxpirkis jackrandall maxbenitz leeingleby richardpates robertpugh richardmccabe ianmercer tonydolan davidthrelfall bryandick georgeinnes williammannering patrickgallagher alexpalmer marklewisjones johndesantis ousmanethiam thierrysegall peterweir
The Twilight Saga: Breaking Dawn - Part 2,adventure fantasy drama romance vampire romance villainess superstrength imprinting crossbreed bloodsucker grudge vampirevsvampire chiefofpolice dhampir forkswashington wolfpack misinformation seeingthefuture fangvamp kristenstewart robertpattinson taylorlautner peterfacinelli elizabethreaser ashleygreene jacksonrathbone kellanlutz nikkireed billyburke dakotafanning jamiecampbellbower maggiegrace mackenziefoy michaelsheen cameronbright chaskespencer myannaburing christopherheyerdahl juliajones booboostewart andreapowell christiancamargo danielcudmore guriweinberg leepace ramimalek caseylabow joeanderson angelasarafyan valoriecurry noelfisher tysonhouseman lateefcrowder charliebewley billywagenseller míamaestro wendellpierce omarmetwally andreagabriel judishekoni traceyheggins patrickbrennan lisahoward marlanebarnes tonitrucks erikodom amadouly janellefroehlich masamikosaka alexrice jdpardo marisaquinn billtangradi rebeccabarras abbiedunn billcondon
Happy Feet Two,animation comedy family penguin musical aftercreditsstinger 3d elijahwood robinwilliams pink e.g.daily johnnya.sanchez lombardoboyar sofíavergara common hugoweaving bradpitt mattdamon carlosalazraqui jeffreygarcia avaacres benjaminfloresjr. meibhcampbell magdaszubanski hankazaria richardcarter leeperry jaisloper oscarbeard anthonylapaglia dannymann deniseblasor rogernarayan georgemiller
The Incredible Hulk,sciencefiction action adventure newyork riodejaneiro marvelcomic superhero basedoncomicbook ontherun fugitive supersoldier tonystark virginia military hulk marvelcinematicuniverse angry brucebanner edwardnorton livtyler timroth williamhurt timblakenelson tyburrell christinacabot petermensah louferrigno paulsoles déboranascimento gregbryk genellewilliams chrisowens alvrkljan adrianhein johnmacdonald shaunmccomb simonwong pedrosalvín juliocesartorresdantas raimundocamargonascimento nickalachiotis jasonburke grantnickalls jorisjarsky arnoldpinnock tigfong jasonhunter maxwellmccabe-lokos davidcollins chrisratz johncarvalho robinwilcock waynerobson javierlambert martinstarr toddhofley joelaloggia tamsenmcdonough michaelkennethwilliams robertobakker rurusacha jamesdowning ricksongracie stephengartner nicholasrose p.j.kerr jee-yunlee desmondcampbell deshaunclarke tonynappo aaronberg davidmeunier tresmith mosesnyarko carlosa.gonzalez yanregis stephenbroussard mattpurdy lenkamatuska scottmagee wesberger carlanascimento kristavendy milastromboni robertdowneyjr. stanlee louisleterrier
The BFG,adventure family fantasy londonengland england basedonnovel queen littlegirl orphan cannibal giant evilbrother rubybarnhill markrylance rebeccahall jemaineclement billhader penelopewilton marilynnorry chrisshields mattfrewer geoffreywade rafespall haigsutherland johnemmettracy adamgodley danielbacon paulmonizdesa alejandrocuello ólafurdarriólafsson michaeladamthwaite gabriellerose luciaryan juliatorrance grahamcurry stevenspielberg
The Revenant,western drama adventure thriller fathersonrelationship rape basedonnovel mountains winter grizzlybear wilderness frontier revenge murder nativeamerican survival bear snow violence animaldeath bearattack deathofson basedontrueevents furtrapper leonardodicaprio tomhardy willpoulter domhnallgleeson paulanderson bradcarter kristofferjoner lukashaas brendanfletcher joshuaburge robertmoloney gracedove timothylyle korygrim forrestgoodluck duanehoward arthurredcloud vincentleclerc emmanuelbilodeau alejandrogonzáleziñárritu
Turbo,animation family underdog carrace dream speed power snail fast friends superpower racer ryanreynolds paulgiamatti michaelpeña samuell.jackson luisguzmán billhader snoopdogg mayarudolph benschwartz richardjenkins kenjeong michellerodriguez davidsoren
Rango,animation comedy family western adventure sheriff nevada pet rango chameleon lasvegas cactus terrarium constructionsite armadillo disillusionment johnnydepp islafisher nedbeatty billnighy alfredmolina abigailbreslin claudiablack timothyolyphant raywinstone stephenroot harrydeanstanton ianabercrombie gilbirmingham jameswardbyrkit blakeclark keithcampbell bethgrant goreverbinski
Penguins of Madagascar,family animation adventure comedy penguin madagascar 3d tommcgrath chrismiller christopherknights conradvernon johnmalkovich benedictcumberbatch kenjeong annetmahendru peterstormare andyrichter dannyjacobs wernerherzog seancharmatz billyeichner stephenkearin avaacres ericdarnell
The Bourne Ultimatum,action drama mystery thriller paris corruption madrid assassin basedonnovel europe prosecution dangerous falseidentity revelation government weapon interpol sequel conspiracy shootout espionage motorcycle violence footchase moskow darkpast langleyvirginia flashback chaseontheroof securityleak mattdamon juliastiles davidstrathairn scottglenn paddyconsidine edgarramírez albertfinney joanallen tomgallop coreyjohnson danielbrühl joeyansah colinstinton danfredenburgh lucyliemann bryanreents arkiereece johnroberson russhuards markbazeley sineado'keefe chuckyvenice scottadkins brankotomovic laurentiupossa trevorst.john albertjones jeffreyleegibson urielemilpollack omarhernandez williamh.burns michaelwildman kaimartin michaelahl davidboston glynisbrooks jamesciccone sebastianfeldman luismottola markmottram jamesschram briansmyj paulthornton johnwarman chriswilson benyoucef paulgreengrass
Kung Fu Panda,adventure animation family comedy china martialarts kungfu mentor snake restaurant shop strongwoman bravery tiger turtle panda sensei anthropomorphism fighting ancientchina monkey master destiny evil aftercreditsstinger monkeywarrior noodle jackblack dustinhoffman angelinajolie jackiechan lucyliu davidcross randalldukkim jameshong danfogler ianmcshane sethrogen michaelclarkeduncan wayneknight kylegass jrreed laurakightlinger tanyahaden stephenkearin markosborne johnstevenson jeremyshipp melissacobb kentosborne emilyburns stephanieharvey rileyosborne markosborne
Ant-Man,sciencefiction action adventure marvelcomic superhero basedoncomicbook aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d paulrudd michaeldouglas evangelinelilly coreystoll bobbycannavale michaelpeña t.i. anthonymackie woodharris judygreer abbyryderfortson daviddastmalchian martindonovan hayleyatwell johnslattery garrettmorris greggturkington rodhallett joechrest joebucaroiii jeanlouisakelly daxgriffin hayleylovitt normaalvarez darcieisabellacottrell teddywilliams carolannewatts chuckdavidwillis dianachiritescu nekoparham oniratares kylendavis zamaniwilder jimr.coleman desmondphillips aaronsaxton michaela.cook rickilander rusblackwell johnnypemberton nicholasbarrera carlosaviles lyndsilarose robertcrayton ajaniperkins jessejameslocorriere zackduhame kevinlacz michaeltrisler danielstevens alexchansky claydonahuefontenot michaeljamorski caseypieretti antalkalik adamhart reubenlangdon toddschneider kevinbuttimer dannyvasquez annaakana stanlee tomkenny rickavery erikbetts peytonreed
